x1,y1,T
0.01600,0.14600,62.00
0.03700,0.27550,60.00
0.06500,0.36500,57.20
0.09000,0.41250,55.30
0.15800,0.50150,52.20
0.20900,0.54550,53.00
0.23850,0.56500,52.40
0.35350,0.60450,50.10
0.47050,0.64450,49.80
0.49700,0.65400,48.90
0.58050,0.69250,50.50
0.65250,0.72600,48.50
0.70000,0.75500,49.80
0.72000,0.76850,48.70
0.78950,0.81520,50.20
0.84160,0.85020,49.10
0.87350,0.87900,49.00
0.89700,0.89900,49.80
0.94850,0.94660,49.50
0.96000,0.95800,47.60
0.97190,0.97000,50.30
0.98120,0.97980,48.60
