x1,y1,T
0.01600,0.14700,78.10
0.03150,0.25050,76.00
0.06000,0.37650,72.40
0.08550,0.43000,69.30
0.14650,0.50050,67.70
0.20600,0.54150,67.50
0.23600,0.56000,67.10
0.34950,0.59450,65.30
0.46750,0.64100,64.70
0.48750,0.64250,64.30
0.58000,0.68900,64.40
0.65250,0.72500,64.20
0.70000,0.74950,63.80
0.71750,0.76800,63.20
0.78900,0.81110,63.80
0.84200,0.84880,62.70
0.87490,0.87680,62.50
0.89670,0.89730,63.60
0.94850,0.94400,63.50
0.97270,0.96920,63.00
